country,drought,flood,heat wave,storms,tropical cyclone
argentina,0,4.65396035,0,0,0
australia,0,11.10667004,0,0,13.81561555
bangladesh,0,7.029972912,0,0,0
belize,0,0,0,0,9.393078509
brazil,14.64841968,0,0,0,0
china,15.60727003,0,0,0,0
congo (the democratic republic of the),13.12236338,0,0,0,0
cuba,0,5.170483995,0,0,0
fiji,0,0,0,0,0
honduras,0,0,0,0,9.047821442
hong kong,0,0,0,0,7.974876901
india,0,6.922643891,5.010635294,7.946617563,5.135798437
indonesia,9.82460667,0,0,0,0
italy,0,0,0,6.927557906,0
japan,0,0,0,0,8.041091004
korea (the republic of),0,0,0,0,10.04324949
madagascar,0,0,0,0,10.75939113
mali,0,0,0,0,0
mauritania,10.86856845,0,0,0,0
mexico,0,0,0,0,0
mozambique,0,0,0,0,11.56175372
myanmar,0,0,0,0,11.7905572
nigeria,0,4.605170186,0,0,0
philippines (the),8.206583614,0,0,0,14.53316253
sri lanka,0,0,0,0,13.91602535
thailand,0,3.912023005,0,0,0
united states of america (the),0,5.010635294,0,11.51357525,0
