country,drought,flood,storms,tropical cyclone
argentina,0,11.51392497,0,0
australia,0,0,0,13.94867076
bangladesh,0,5.703782475,0,7.824046011
belize,0,0,0,11.21182037
germany fed rep,0,9.998797732,0,0
haiti,13.13626628,0,0,0
honduras,0,0,0,13.95353186
hong kong,0,0,0,7.783640596
india,0,0,0,10.13141962
indonesia,0,7.605890001,0,0
japan,0,12.89948979,0,5.420534999
mexico,0,0,0,2.564949357
philippines (the),0,0,0,11.97764013
somalia,12.42520818,0,0,0
trinidad and tobago,0,0,0,10.91512483
united states of america (the),0,3.401197382,13.81583251,0
